code,rank,maze_index,center_y,center_x,confidence,original_canonical_pattern_id,decoded_canonical_pattern_id,cell_edit_rate
5,6,725,7,7,0.9415755867958069,0,0,0.0
5,7,2552,5,5,0.9415755867958069,128,0,0.04
5,8,3156,5,5,0.9415755867958069,0,0,0.0
6,1,2552,6,5,0.9244780540466309,4,0,0.04
6,2,2387,7,7,0.9244780540466309,64,0,0.04
6,3,2387,7,5,0.9244780540466309,64,0,0.04
6,4,2387,6,7,0.9244780540466309,2,0,0.04
6,5,2387,6,6,0.9244780540466309,4,0,0.04
6,6,2387,6,5,0.9244780540466309,2,0,0.04
6,7,6105,5,6,0.9244780540466309,0,0,0.0
6,8,6105,5,7,0.9244780540466309,0,0,0.0
7,1,2552,5,6,0.9999264478683472,64,0,0.04
7,2,2552,6,5,0.9999264478683472,4,0,0.04
7,3,725,6,7,0.9999264478683472,0,0,0.0
7,4,725,7,5,0.9999264478683472,0,0,0.0
7,5,3156,7,7,0.9999264478683472,0,0,0.0
7,6,2387,6,6,0.9999264478683472,4,0,0.04
7,7,2387,6,5,0.9999264478683472,2,0,0.04
7,8,3156,7,6,0.9999264478683472,0,0,0.0
8,1,2552,6,6,0.9796505570411682,2,0,0.04
8,2,2387,6,7,0.9796505570411682,2,0,0.04
8,3,3156,7,6,0.9796505570411682,0,0,0.0
8,4,3156,7,5,0.9796505570411682,0,0,0.0
8,5,3156,6,7,0.9796505570411682,0,0,0.0
8,6,3156,6,6,0.9796505570411682,0,0,0.0
8,7,3156,6,5,0.9796505570411682,0,0,0.0
8,8,2387,7,6,0.9796505570411682,128,0,0.04
9,1,725,5,6,0.955073893070221,0,0,0.0
9,2,7573,5,5,0.955073893070221,2,0,0.04
9,3,725,6,7,0.955073893070221,0,0,0.0
9,4,725,7,5,0.955073893070221,0,0,0.0
9,5,725,7,6,0.955073893070221,0,0,0.0
9,6,725,7,7,0.955073893070221,0,0,0.0
9,7,2552,5,5,0.955073893070221,128,0,0.04
9,8,3156,5,5,0.955073893070221,0,0,0.0
10,1,2552,6,6,0.9756249189376831,2,0,0.04
10,2,2387,6,7,0.9756249189376831,2,0,0.04
10,3,3156,7,6,0.9756249189376831,0,0,0.0
10,4,3156,7,5,0.9756249189376831,0,0,0.0
10,5,3156,6,7,0.9756249189376831,0,0,0.0
10,6,3156,6,6,0.9756249189376831,0,0,0.0
10,7,3156,6,5,0.9756249189376831,0,0,0.0
10,8,2387,7,6,0.9756249189376831,128,0,0.04
11,1,7573,7,5,0.9231176376342773,128,0,0.04
11,2,6105,6,6,0.9231176376342773,0,0,0.0
11,3,6105,5,7,0.9231176376342773,0,0,0.0
11,4,2387,6,7,0.9231176376342773,2,0,0.04
11,5,2387,6,6,0.9231176376342773,4,0,0.04
11,6,2387,6,5,0.9231176376342773,2,0,0.04
11,7,6105,5,5,0.9231176376342773,0,0,0.0
11,8,725,5,6,0.9231176376342773,0,0,0.0
12,1,725,5,6,0.9694094657897949,0,0,0.0
12,2,7573,5,5,0.9694094657897949,2,0,0.04
12,3,725,6,7,0.9694094657897949,0,0,0.0
12,4,725,7,5,0.9694094657897949,0,0,0.0
12,5,725,7,6,0.9694094657897949,0,0,0.0
12,6,725,7,7,0.9694094657897949,0,0,0.0
12,7,2552,5,5,0.9694094657897949,128,0,0.04
12,8,3156,5,5,0.9694094657897949,0,0,0.0
13,1,725,5,6,0.9420390129089355,0,0,0.0
13,2,7573,5,5,0.9420390129089355,2,0,0.04
13,3,725,6,7,0.9420390129089355,0,0,0.0
13,4,725,7,5,0.9420390129089355,0,0,0.0
13,5,725,7,6,0.9420390129089355,0,0,0.0
13,6,725,7,7,0.9420390129089355,0,0,0.0
13,7,2552,5,5,0.9420390129089355,128,0,0.04
13,8,3156,5,5,0.9420390129089355,0,0,0.0
14,1,3156,5,5,0.9940799474716187,0,0,0.0
14,2,2552,5,5,0.9940799474716187,128,0,0.04
14,3,725,6,5,0.9940799474716187,0,0,0.0
14,4,725,5,7,0.9940799474716187,0,0,0.0
14,5,6105,5,6,0.9940799474716187,0,0,0.0
14,6,6105,5,5,0.9940799474716187,0,0,0.0
14,7,725,5,6,0.9940799474716187,0,0,0.0
14,8,725,5,5,0.9940799474716187,0,0,0.0
15,1,2552,6,6,0.9659553170204163,2,0,0.04
15,2,6105,6,7,0.9659553170204163,0,0,0.0
15,3,3156,5,6,0.9659553170204163,0,0,0.0
15,4,2387,7,6,0.9659553170204163,128,0,0.04
15,5,2387,7,5,0.9659553170204163,64,0,0.04
15,6,2387,6,7,0.9659553170204163,2,0,0.04
15,7,2387,6,6,0.9659553170204163,4,0,0.04
15,8,2387,6,5,0.9659553170204163,2,0,0.04
