update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
299,replay,3584,0.1140,1.000,-0.0125,0.59
300,es_step,3616,0.0000,1.000,-0.0124,1.19
301,replay,3616,0.2178,1.000,-0.0127,0.59
302,replay,3616,0.0130,1.000,-0.0126,0.59
303,replay,3616,0.1029,1.000,-0.0120,0.59
304,es_step,3648,0.0000,1.000,-0.0119,1.20
305,replay,3648,0.0426,1.000,-0.0115,0.59
306,replay,3648,0.3440,1.000,-0.0109,0.59
307,replay,3648,0.2725,1.000,-0.0108,0.59
308,replay,3648,0.1759,1.000,-0.0108,0.59
309,es_step,3680,0.0000,1.000,-0.0107,1.20
310,es_step,3712,0.0000,1.000,-0.0106,1.19
311,replay,3712,0.2273,1.000,-0.0103,0.59
312,replay,3712,-0.0827,1.000,-0.0108,0.59
313,replay,3712,0.1377,1.000,-0.0109,0.59
314,es_step,3744,0.0000,1.000,-0.0108,1.19
315,replay,3744,0.2544,1.000,-0.0106,0.59
316,replay,3744,0.1118,1.000,-0.0107,0.59
317,replay,3744,0.2193,1.000,-0.0108,1.04
318,replay,3744,0.2207,1.000,-0.0103,0.59
319,replay,3744,0.1355,1.000,-0.0107,0.59
320,es_step,3776,0.0000,1.000,-0.0106,1.20
321,replay,3776,0.1572,1.000,-0.0109,0.59
322,replay,3776,0.1984,1.000,-0.0107,0.59
323,replay,3776,0.2959,1.000,-0.0103,0.59
324,replay,3776,0.2323,1.000,-0.0105,0.59
325,replay,3776,0.2374,1.000,-0.0107,0.59
326,replay,3776,0.0810,1.000,-0.0111,0.59
327,replay,3776,0.2000,1.000,-0.0108,0.59
328,replay,3776,-0.0505,1.000,-0.0111,0.59
329,replay,3776,0.1841,1.000,-0.0108,0.59
330,es_step,3808,0.0000,1.000,-0.0107,1.20
331,replay,3808,0.3103,1.000,-0.0107,0.59
332,replay,3808,0.1254,1.000,-0.0104,0.59
333,replay,3808,0.2329,1.000,-0.0101,0.59
334,replay,3808,0.3128,1.000,-0.0100,0.59
335,es_step,3840,0.0000,1.000,-0.0099,1.19
336,es_step,3872,0.0000,1.000,-0.0098,1.19
337,replay,3872,0.0837,1.000,-0.0098,0.59
338,replay,3872,0.3568,1.000,-0.0099,0.60
339,replay,3872,0.2430,1.000,-0.0095,0.59
340,replay,3872,-0.0838,1.000,-0.0093,0.59
341,replay,3872,0.2090,1.000,-0.0092,0.59
342,replay,3872,0.1807,1.000,-0.0078,0.59
343,replay,3872,0.1582,1.000,-0.0081,0.59
344,es_step,3904,0.0000,1.000,-0.0080,1.19
345,replay,3904,0.0461,1.000,-0.0076,0.59
346,replay,3904,0.4525,1.000,-0.0074,0.59
347,replay,3904,0.3225,1.000,-0.0075,0.59
348,es_step,3936,0.0000,1.000,-0.0074,1.19
349,replay,3936,0.4248,1.000,-0.0070,0.59
350,replay,3936,0.2515,1.000,-0.0066,0.59
351,replay,3936,0.1980,1.000,-0.0067,0.59
352,replay,3936,0.2242,1.000,-0.0060,0.59
353,replay,3936,0.1664,1.000,-0.0059,0.59
354,replay,3936,0.1338,1.000,-0.0055,0.59
355,replay,3936,0.1360,1.000,-0.0056,0.59
356,replay,3936,0.2126,1.000,-0.0054,0.59
357,es_step,3968,0.0000,1.000,-0.0053,1.19
358,es_step,4000,0.0000,1.000,-0.0053,1.19
359,replay,4000,0.3887,1.000,-0.0053,0.59
360,es_step,4000,0.0000,1.000,-0.0053,1.19
361,replay,4000,0.3574,1.000,-0.0050,0.59
362,replay,4000,-0.1109,1.000,-0.0059,0.59
363,replay,4000,0.2339,1.000,-0.0058,0.59
364,replay,4000,0.3823,1.000,-0.0054,0.59
365,replay,4000,0.1009,1.000,-0.0061,0.59
366,replay,4000,0.1219,1.000,-0.0061,0.59
367,replay,4000,-0.2279,1.000,-0.0066,0.59
368,es_step,4000,0.0000,1.000,-0.0065,1.19
369,replay,4000,0.2359,1.000,-0.0059,0.59
370,replay,4000,0.1143,1.000,-0.0059,0.59
371,replay,4000,0.1803,1.000,-0.0059,0.59
372,replay,4000,0.2265,1.000,-0.0054,0.59
373,replay,4000,0.1726,1.000,-0.0054,0.59
374,es_step,4000,0.0452,1.000,-0.0054,1.20
375,replay,4000,0.3019,1.000,-0.0050,0.60
376,replay,4000,0.1756,1.000,-0.0048,0.59
377,replay,4000,0.3173,1.000,-0.0041,0.59
378,replay,4000,0.2902,1.000,-0.0037,0.59
379,replay,4000,0.3231,1.000,-0.0033,0.59
380,replay,4000,0.2459,1.000,-0.0031,0.59
381,replay,4000,0.2504,1.000,-0.0026,0.59
382,replay,4000,0.1757,1.000,-0.0028,0.59
383,replay,4000,0.2876,1.000,-0.0028,0.59
384,es_step,4000,0.1139,1.000,-0.0026,1.19
385,replay,4000,0.3192,1.000,-0.0021,0.59
386,replay,4000,0.1430,1.000,-0.0022,0.59
387,replay,4000,0.2487,1.000,-0.0016,0.60
388,es_step,4000,0.1153,1.000,-0.0016,1.19
389,replay,4000,0.2271,1.000,-0.0016,0.59
390,es_step,4000,0.0590,1.000,-0.0016,1.19
391,replay,4000,0.1959,1.000,-0.0016,0.59
392,replay,4000,0.1962,1.000,-0.0016,0.59
393,replay,4000,0.2643,1.000,-0.0011,0.59
394,replay,4000,0.2594,1.000,-0.0008,0.59
395,replay,4000,0.1747,1.000,-0.0010,0.59
396,replay,4000,0.2281,1.000,-0.0008,0.66
397,replay,4000,0.1549,1.000,-0.0007,0.59
398,replay,4000,0.2839,1.000,-0.0005,0.59
399,replay,4000,0.1450,1.000,-0.0008,0.59
400,es_step,4000,0.0979,1.000,-0.0008,1.20
401,replay,4000,0.1325,1.000,-0.0005,0.59
402,replay,4000,0.1994,1.000,-0.0004,0.59
403,replay,4000,0.1966,1.000,-0.0007,0.59
404,es_step,4000,0.0229,1.000,-0.0006,1.19
405,es_step,4000,0.0354,1.000,-0.0006,1.40
406,replay,4000,0.1204,1.000,-0.0007,0.59
407,replay,4000,0.1196,1.000,-0.0007,0.59
408,replay,4000,0.0885,1.000,-0.0010,0.59
